Domain Category,Question,Intent,Clinical Area/Diagnosis,Triage Level,Test Result,Drug Interaction,Drug 1,Drug 2
Medication Safety & Drug Interaction,Atorvastatin & Amoxicillin: Is it ok to take Atorvastatin while on Amoxicillin?,Drug Interaction,,,,Moderate,Statin,Antibiotic
Medication Safety & Drug Interaction,Atorvastatin & Prednisone: Safety of taking Atorvastatin and Prednisone?,Drug Interaction,,,,Moderate,Statin,Corticosteroid
Medication Safety & Drug Interaction,Levothyroxine & Metformin: Will I die if I take Levothyroxine and Metformin?,Drug Interaction,,,,Moderate,Hormone therapy,Diabetes medication
Medication Safety & Drug Interaction,Levothyroxine & Simvastatin: What will happen if I take Levothyroxine and Simvastatin?,Drug Interaction,,,,Moderate,Hormone therapy,Statin
Medication Safety & Drug Interaction,Lisinopril & Prednisone: What happens if I'm on both Lisinopril and Prednisone?,Drug Interaction,,,,Moderate,ACE inhibitor,Corticosteroid
Medication Safety & Drug Interaction,"Lisinopril & Simvastatin: If I take Lisinopril and then I take Simvastatin, what will happen to me?",Drug Interaction,,,,Moderate,ACE inhibitor,Statin
Medication Safety & Drug Interaction,"Metoprolol & Ibuprofen: I'm on Metoprolol, can I take Ibuprofen?",Drug Interaction,,,,Moderate,Beta-blocker,NSAID
Medication Safety & Drug Interaction,"Metoprolol & Prednisone: If I take Metoprolol, what will happen if I take Prednisone?",Drug Interaction,,,,Moderate,Beta-blocker,Corticosteroid
Medication Safety & Drug Interaction,Omeprazole & Atorvastatin: Is it safe to take Omeprazole while on Atorvastatin?,Drug Interaction,,,,Moderate,PPI,Statin
Medication Safety & Drug Interaction,Omeprazole & Prednisone: Is there any interaction between Omeprazole and Prednisone?,Drug Interaction,,,,Moderate,PPI,Corticosteroid
Medication Safety & Drug Interaction,Sertraline & Tramadol: How safe is it to take both Sertraline and Tramadol?,Drug Interaction,,,,Severe,SSRI,Opioid
Medication Safety & Drug Interaction,Sertraline & Acetaminophen / Hydrocodone: Is it ok to take Sertraline while on Acetaminophen / Hydrocodone?,Drug Interaction,,,,Severe,SSRI,Opioid
Medication Safety & Drug Interaction,Warfarin & Amoxicillin: Safety of taking Warfarin and Amoxicillin?,Drug Interaction,,,,Severe,Anticoagulant,Antibiotic
Medication Safety & Drug Interaction,Warfarin & Prednisone: Will I die if I take Warfarin and Prednisone?,Drug Interaction,,,,Severe,Anticoagulant,Corticosteroid
Medication Safety & Drug Interaction,Diazepam & Acetaminophen / Hydrocodone: What will happen if I take Diazepam and Acetaminophen / Hydrocodone?,Drug Interaction,,,,Severe,Benzodiazepine,Opioid
Medication Safety & Drug Interaction,Diazepam & Gabapentin: What happens if I'm on both Diazepam and Gabapentin?,Drug Interaction,,,,Severe,Benzodiazepine,Anticonvulsant
Medication Safety & Drug Interaction,"Insulin Glargine & Lisinopril: If I take Insulin Glargine and then I take Lisinopril, what will happen to me?",Drug Interaction,,,,Severe,Insulin,ACE inhibitor
Medication Safety & Drug Interaction,"Insulin Glargine & Metoprolol: I'm on Insulin Glargine, can I take Metoprolol?",Drug Interaction,,,,Severe,Insulin,Beta-blocker
Medication Safety & Drug Interaction,"Semaglutide & Insulin Glargine: If I take Semaglutide, what will happen if I take Insulin Glargine?",Drug Interaction,,,,Severe,GLP-1 inhibitor,Insulin
Medication Safety & Drug Interaction,Semaglutide & Glipizide: Is it safe to take Semaglutide while on Glipizide?,Drug Interaction,,,,Severe,GLP-1 inhibitor,Sulfonylurea
Medication Safety & Drug Interaction,Simvastatin & Azithromycin: Is there any interaction between Simvastatin and Azithromycin?,Drug Interaction,,,,Severe,Statin,Antibiotic
Medication Safety & Drug Interaction,Simvastatin & Amiodarone: How safe is it to take both Simvastatin and Amiodarone?,Drug Interaction,,,,Severe,Statin,Antiarrhythmic
Medication Safety & Drug Interaction,Estrogen (Hormone therapy) & Prednisone: Is it ok to take Estrogen (Hormone therapy) while on Prednisone?,Drug Interaction,,,,Severe,Hormone therapy,Corticosteroid
Medication Safety & Drug Interaction,Lisinopril & Spironolactone: Safety of taking Lisinopril and Spironolactone?,Drug Interaction,,,,Severe,ACE inhibitor,Diuretic
Medication Safety & Drug Interaction,Lisinopril & Ibuprofen: Will I die if I take Lisinopril and Ibuprofen?,Drug Interaction,,,,Severe,ACE inhibitor,NSAID
Medication Safety & Drug Interaction,Metoprolol & Diltiazem: What will happen if I take Metoprolol and Diltiazem?,Drug Interaction,,,,Severe,Beta-blocker,CCB
Medication Safety & Drug Interaction,Metoprolol & Clonidine: What happens if I'm on both Metoprolol and Clonidine?,Drug Interaction,,,,Severe,Beta-blocker,Alpha2 agonist
Medication Safety & Drug Interaction,"Omeprazole & Clopidogrel: If I take Omeprazole and then I take Clopidogrel, what will happen to me?",Drug Interaction,,,,Severe,PPI,Antiplatelet
Medication Safety & Drug Interaction,"Omeprazole & Atazanavir: I'm on Omeprazole, can I take Atazanavir?",Drug Interaction,,,,Severe,PPI,Antiretroviral
Medication Safety & Drug Interaction,"Sertraline & Amoxicillin: If I take Sertraline, what will happen if I take Amoxicillin?",Drug Interaction,,,,None,SSRI,Antibiotic
Medication Safety & Drug Interaction,Sertraline & Albuterol: Is it safe to take Sertraline while on Albuterol?,Drug Interaction,,,,None,SSRI,Bronchodilator
Medication Safety & Drug Interaction,Warfarin & Omeprazole: Is there any interaction between Warfarin and Omeprazole?,Drug Interaction,,,,None,Anticoagulant,PPI
Medication Safety & Drug Interaction,Warfarin & Gabapentin: How safe is it to take both Warfarin and Gabapentin?,Drug Interaction,,,,None,Anticoagulant,Anticonvulsant
Medication Safety & Drug Interaction,Diazepam & Levothyroxine: Is it ok to take Diazepam while on Levothyroxine?,Drug Interaction,,,,None,Benzodiazepine,Hormone therapy
Medication Safety & Drug Interaction,Diazepam & Metformin: Safety of taking Diazepam and Metformin?,Drug Interaction,,,,None,Benzodiazepine,Diabetes medication
Medication Safety & Drug Interaction,Metformin & Omeprazole: Will I die if I take Metformin and Omeprazole?,Drug Interaction,,,,None,Diabetes medication,PPI
Medication Safety & Drug Interaction,Metformin & Prednisone: What will happen if I take Metformin and Prednisone?,Drug Interaction,,,,None,Diabetes medication,Corticosteroid
Medication Safety & Drug Interaction,Semaglutide & Losartan: What happens if I'm on both Semaglutide and Losartan?,Drug Interaction,,,,None,GLP-1 inhibitor,ARB
Medication Safety & Drug Interaction,"Semaglutide & Pantoprazole: If I take Semaglutide and then I take Pantoprazole, what will happen to me?",Drug Interaction,,,,None,GLP-1 inhibitor,PPI
Medication Safety & Drug Interaction,"Atorvastatin & Levothyroxine: I'm on Atorvastatin, can I take Levothyroxine?",Drug Interaction,,,,None,Statin,Hormone therapy
Medication Safety & Drug Interaction,"Atorvastatin & Amoxicillin: If I take Atorvastatin, what will happen if I take Amoxicillin?",Drug Interaction,,,,None,Statin,Antibiotic
Medication Safety & Drug Interaction,Levothyroxine & Albuterol: Is it safe to take Levothyroxine while on Albuterol?,Drug Interaction,,,,None,Hormone therapy,Bronchodilator
Medication Safety & Drug Interaction,Levothyroxine & Gabapentin: Is there any interaction between Levothyroxine and Gabapentin?,Drug Interaction,,,,None,Hormone therapy,Anticonvulsant
Medication Safety & Drug Interaction,Lisinopril & Sertraline: How safe is it to take both Lisinopril and Sertraline?,Drug Interaction,,,,None,ACE inhibitor,SSRI
Medication Safety & Drug Interaction,Lisinopril & Pantoprazole: Is it ok to take Lisinopril while on Pantoprazole?,Drug Interaction,,,,None,ACE inhibitor,PPI
Medication Safety & Drug Interaction,Metoprolol & Amoxicillin: Safety of taking Metoprolol and Amoxicillin?,Drug Interaction,,,,None,Beta-blocker,Antibiotic
Medication Safety & Drug Interaction,Metoprolol & Acetaminophen / Hydrocodone: Will I die if I take Metoprolol and Acetaminophen / Hydrocodone?,Drug Interaction,,,,None,Beta-blocker,Opioid
Medication Safety & Drug Interaction,Omeprazole & Gabapentin: What will happen if I take Omeprazole and Gabapentin?,Drug Interaction,,,,None,PPI,Anticonvulsant
Medication Safety & Drug Interaction,Omeprazole & Albuterol: What happens if I'm on both Omeprazole and Albuterol?,Drug Interaction,,,,None,PPI,Bronchodilator
Medication Safety & Drug Interaction,"Lisinopril & Hydrochlorothiazide: If I take Lisinopril and then I take Hydrochlorothiazide, what will happen to me?",Drug Interaction,,,,None,ACE inhibitor,Diuretic
Medication Safety & Drug Interaction,"Sertraline & St. John's Wort: If I take Sertraline, what will happen if I take St. John's Wort?",Drug Interaction,,,,Severe,SSRI,Herbal supplement
Medication Safety & Drug Interaction,Sertraline & 5-HTP: Is it safe to take Sertraline while on 5-HTP?,Drug Interaction,,,,Moderate,SSRI,Amino acid supplement
Medication Safety & Drug Interaction,Sertraline & Ginkgo biloba: Is there any interaction between Sertraline and Ginkgo biloba?,Drug Interaction,,,,Moderate,SSRI,Herbal supplement
Medication Safety & Drug Interaction,Sertraline & SAMe: How safe is it to take both Sertraline and SAMe?,Drug Interaction,,,,Moderate,SSRI,Methyl donor supplement
Medication Safety & Drug Interaction,Sertraline & Fish Oil (Omega-3): Is it ok to take Sertraline while on Fish Oil (Omega-3)?,Drug Interaction,,,,Minor,SSRI,Nutritional supplement
Medication Safety & Drug Interaction,Methylphenidate & Caffeine: Safety of taking Methylphenidate and Caffeine?,Drug Interaction,,,,Moderate,Stimulant,Nutritional supplement
Medication Safety & Drug Interaction,Methylphenidate & Ginseng: Will I die if I take Methylphenidate and Ginseng?,Drug Interaction,,,,Minor,Stimulant,Herbal supplement
Medication Safety & Drug Interaction,Methylphenidate & Ephedra: What will happen if I take Methylphenidate and Ephedra?,Drug Interaction,,,,Severe,Stimulant,Herbal stimulant
Medication Safety & Drug Interaction,Methylphenidate & Guarana: What happens if I'm on both Methylphenidate and Guarana?,Drug Interaction,,,,Moderate,Stimulant,Herbal stimulant
Medication Safety & Drug Interaction,"Methylphenidate & Yohimbine: If I take Methylphenidate and then I take Yohimbine, what will happen to me?",Drug Interaction,,,,Moderate,Stimulant,Herbal stimulant
Medication Safety & Drug Interaction,"Lisinopril & Potassium Chloride: I'm on Lisinopril, can I take Potassium Chloride?",Drug Interaction,,,,Severe,ACE inhibitor,Mineral supplement
Medication Safety & Drug Interaction,"Lisinopril & Licorice (deglycyrrhizinated): If I take Lisinopril, what will happen if I take Licorice (deglycyrrhizinated)?",Drug Interaction,,,,Moderate,ACE inhibitor,Herbal supplement
Medication Safety & Drug Interaction,Lisinopril & Hawthorn Extract: Is it safe to take Lisinopril while on Hawthorn Extract?,Drug Interaction,,,,Minor,ACE inhibitor,Herbal supplement
Medication Safety & Drug Interaction,Lisinopril & Coenzyme Q10: Is there any interaction between Lisinopril and Coenzyme Q10?,Drug Interaction,,,,Minor,ACE inhibitor,Nutritional supplement
Medication Safety & Drug Interaction,Lisinopril & Garlic Supplement: How safe is it to take both Lisinopril and Garlic Supplement?,Drug Interaction,,,,Minor,ACE inhibitor,Herbal supplement
Medication Safety & Drug Interaction,Atorvastatin & Grapefruit Juice: Is it ok to take Atorvastatin while on Grapefruit Juice?,Drug Interaction,,,,Severe,Statin,Food/beverage
Medication Safety & Drug Interaction,Atorvastatin & Red Yeast Rice: Safety of taking Atorvastatin and Red Yeast Rice?,Drug Interaction,,,,Severe,Statin,Nutritional supplement
Medication Safety & Drug Interaction,Atorvastatin & Coenzyme Q10: Will I die if I take Atorvastatin and Coenzyme Q10?,Drug Interaction,,,,Minor,Statin,Nutritional supplement
Medication Safety & Drug Interaction,Atorvastatin & Niacin (Vitamin B3): What will happen if I take Atorvastatin and Niacin (Vitamin B3)?,Drug Interaction,,,,Moderate,Statin,Vitamin supplement
Medication Safety & Drug Interaction,Atorvastatin & Bergamot Extract: What happens if I'm on both Atorvastatin and Bergamot Extract?,Drug Interaction,,,,Moderate,Statin,Herbal supplement
